Class,Weights
0,1.28
1,17.35
2,4.17
3,40.12
4,13.95
5,2.26
6,1.54
7,1.01
8,1.06
9,1.12
10,0.9
11,1.59
12,1.03
13,0.8
14,0.82
15,0.93
16,0.77
17,0.75
18,0.6
19,0.8
20,0.83
21,0.8
22,0.77
23,0.83
24,0.83
25,0.81
26,0.82
27,0.82
28,0.81
29,0.84
30,0.88
31,0.8
32,0.81
33,0.82
34,0.81
35,0.81
36,0.84
37,0.81
38,0.87
39,0.81
40,0.83
41,0.79
42,0.79
43,0.75
44,0.8
45,0.77
46,0.76
47,0.81
48,0.76
49,0.79
50,0.78
51,0.78
52,0.82
53,0.79
54,0.83
55,0.83
56,0.8
57,0.84
58,0.82
59,0.88
60,0.93
61,0.78
62,0.82
63,0.81
64,0.94
65,0.91
66,0.99
67,0.9
68,0.88
69,0.89
70,1.08
71,0.89
72,1.03
73,0.9
74,0.81
75,0.88
76,0.91
77,1.09
78,0.95
79,0.97
80,0.81
81,0.86
82,1
83,1.09
84,0.98
85,1.12
86,1.11
87,0.95
88,1.06
89,1.87
90,1.2
91,1.53
92,1.89
93,4.17
94,4.79
95,7.64
96,7.83
97,49.37
98,7.83
99,12.11
100,6.55
