Images,Age,Group
wiki/Mask-91/Scale_0.3_5064651_1912-11-21_2004.jpg,91,2
wiki/Mask-92/rot_15_503251_1913-07-07_2006.jpg,92,2
imdb/Mask-73/nm0000164_rm4222387456_1937-12-31_2011.jpg,73,2
wiki/Mask-92/Contrast-25_54385_1921-03-13_2013.jpg,92,2
wiki/Mask-78/rot_30_7143565_1932-01-31_2010.jpg,78,2
wiki/Mask-81/6180185_1925-01-11_2006.jpg,81,2
wiki/Mask-86/light_1.5_346067_1921-10-06_2008.jpg,86,2
wiki/Mask-85/rot_-15_663247_1927-12-30_2013.jpg,85,2
imdb/Mask-72/nm0000404_rm1398439936_1937-12-21_2010.jpg,72,2
imdb/Mask-71/nm0000683_rm2234617344_1925-10-3_1997.jpg,71,2
wiki/Mask-73/SP_0.5_0.009_24754_1928-11-11_2002.jpg,73,2
wiki/Mask-86/Scale_0.3_8942982_1924-05-26_2010.jpg,86,2
wiki/Mask-71/flip_1_599087_1925-09-16_1997.jpg,71,2
imdb/Mask-89/nm0000489_rm4062624256_1922-5-27_2011.jpg,89,2
wiki/Mask-86/Trans_-60_60_196855_1923-06-24_2009.jpg,86,2
wiki/Mask-79/7714469_1908-11-03_1988.jpg,79,2
imdb/Mask-86/Contrast-25_nm0756340_rm976017920_1927-5-11_2013.jpg,86,2
wiki/Mask-72/rot_30_68494_1939-10-24_2012.jpg,72,2
wiki/Mask-84/Sharpen_56640_1931-06-20_2015.jpg,84,2
wiki/Mask-76/Contrast-25_8057037_1933-05-20_2009.jpg,76,2
imdb/Mask-70/nm0001787_rm334101760_1944-7-8_2015.jpg,70,2
wiki/Mask-84/SP_0.5_0.009_004252_1930-04-14_2014.jpg,84,2
wiki/Mask-81/4157309_1922-09-20_2004.jpg,81,2
wiki/Mask-80/Sharpen_329069_1922-08-03_2003.jpg,80,2
wiki/Mask-72/rot_-30_45291_1939-10-07_2012.jpg,72,2
wiki/Mask-87/SP_0.5_0.009_59918_1923-10-25_2011.jpg,87,2
wiki/Mask-74/SP_0.5_0.009_6556_1917-08-28_1992.jpg,74,2
imdb/Mask-87/rot_-15_nm0000683_rm2838220288_1925-10-3_2013.jpg,87,2
wiki/Mask-81/rot_15_233161_1928-09-06_2010.jpg,81,2
wiki/Mask-68/flip_1_759525_1938-09-23_2007.jpg,68,2
imdb/Mask-68/nm0000338_rm4211841536_1939-4-7_2007.jpg,68,2
wiki/Mask-87/rot_15_62286_1915-06-19_2002.jpg,87,2
wiki/Mask-95/Sharpen_1158054_1919-04-06_2014.jpg,95,2
wiki/Mask-85/rot_-15_34863_1895-02-02_1980.jpg,85,2
wiki/Mask-84/rot_-15_39050_1929-05-29_2013.jpg,84,2
wiki/Mask-70/flip_1_8228268_1934-05-28_2004.jpg,70,2
imdb/Mask-77/nm0000056_rm3045300480_1925-1-26_2002.jpg,77,2
imdb/Mask-66/nm0813902_rm4095577344_1943-12-12_2010.jpg,66,2
wiki/Mask-69/flip_1_8308_1907-06-16_1976.jpg,69,2
wiki/Mask-85/2131922_1928-08-30_2014.jpg,85,2
wiki/Mask-88/SP_0.5_0.009_447718_1919-11-04_2008.jpg,88,2
