Images,Age,Group
imdb/Mask-53/nm0705989_rm3163932928_1926-4-22_1979.jpg,53,1
wiki/Mask-74/rot_30_5493_1937-11-30_2012.jpg,74,2
imdb/Mask-27/nm0000213_rm3827011072_1971-10-29_1999.jpg,27,1
imdb/Mask-31/nm0000477_rm1258593024_1975-1-25_2006.jpg,31,1
imdb/Mask-65/nm0005683_rm832568832_1949-5-24_2014.jpg,65,2
wiki/Mask-74/light_1.5_1600984_1908-06-25_1982.jpg,74,2
wiki/Mask-74/SP_0.5_0.009_438351_1935-03-02_2009.jpg,74,2
wiki/Mask-73/Contrast-25_79704_1936-12-25_2010.jpg,73,2
wiki/Mask-80/rot_45_9671274_1934-04-24_2014.jpg,80,2
imdb/Mask-7/rot_15_nm1508231_rm1205312256_1998-4-14_2005.jpg,7,0
imdb/Mask-57/nm0000057_rm1925285120_1910-3-1_1967.jpg,57,1
wiki/Mask-75/SP_0.5_0.009_313094_1934-12-04_2010.jpg,75,2
imdb/Mask-46/nm0000115_rm2895741696_1964-1-7_2010.jpg,46,1
imdb/Mask-17/nm1568881_rm977705472_1984-6-30_2002.jpg,17,1
imdb/Mask-25/nm0000098_rm3355041024_1969-2-11_1994.jpg,25,1
wiki/Mask-71/6356_1933-08-07_2005.jpg,71,2
imdb/Mask-48/nm0001123_rm430357248_1933-8-1_1982.jpg,48,1
imdb/Mask-20/nm1114884_rm3032649216_1984-10-27_2005.jpg,20,1
imdb/Mask-49/nm0001840_rm2633017088_1963-11-20_2013.jpg,49,1
imdb/Mask-56/nm0865302_rm2848766976_1954-12-4_2011.jpg,56,1
imdb/Mask-19/nm0517820_rm4165507328_1986-7-2_2006.jpg,19,1
imdb/Mask-55/nm0447884_rm939887104_1954-1-17_2009.jpg,55,1
imdb/Mask-27/nm0005128_rm4078558208_1968-3-29_1995.jpg,27,1
imdb/Mask-34/nm0000368_rm1223203072_1967-2-10_2001.jpg,34,1
imdb/Mask-48/nm0001187_rm261137920_1965-2-27_2013.jpg,48,1
imdb/Mask-45/nm0000491_rm194546944_1964-7-22_2010.jpg,45,1
wiki/Mask-85/Trans_-60_-60_7242244_1889-02-01_1974.jpg,85,2
imdb/Mask-48/nm0001127_rm3278801664_1956-3-13_2004.jpg,48,1
imdb/Mask-28/nm0000267_rm2030566144_1935-10-1_1964.jpg,28,1
imdb/Mask-25/nm0001593_rm2166082560_1982-7-24_2008.jpg,25,1
imdb/Mask-57/nm0000172_rm1582144256_1939-5-13_1996.jpg,57,1
imdb/Mask-43/nm0000144_rm4184520192_1962-10-26_2006.jpg,43,1
imdb/Mask-48/nm0000146_rm3355033344_1962-12-22_2011.jpg,48,1
imdb/Mask-28/nm0004890_rm3412433408_1970-8-20_1999.jpg,28,1
imdb/Mask-41/nm0000178_rm4126907136_1965-1-22_2006_2.jpg,41,1
imdb/Mask-54/nm0005522_rm910146304_1957-1-15_2011.jpg,54,1
imdb/Mask-22/nm1200692_rm3274414592_1980-7-6_2003.jpg,22,1
